ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000119242	80212	HGNC:29563	CCDC92	FLJ22471	
ENSG00000277200	101928991	HGNC:52279	CCDC92B		
ENSG00000125633	54520	HGNC:25611	CCDC93	FLJ10996	
ENSG00000173013	257236	HGNC:26900	CCDC96	FLJ90575	
ENSG00000142039	90324	HGNC:28289	CCDC97	FLJ40267	
ENSG00000142039	90324	HGNC:28289	CCDC97	MGC20255	
ENSG00000135736	92922	HGNC:28097	CCDC102A	MGC10992	
ENSG00000150636	79839	HGNC:26295	CCDC102B	FLJ23594	C18orf14
ENSG00000150636	79839	HGNC:26295	CCDC102B	FLJ23594	ACY1L
ENSG00000150636	79839	HGNC:26295	CCDC102B	HsT1731	C18orf14
ENSG00000150636	79839	HGNC:26295	CCDC102B	HsT1731	ACY1L
ENSG00000150636	79839	HGNC:26295	CCDC102B	AN	C18orf14
ENSG00000150636	79839	HGNC:26295	CCDC102B	AN	ACY1L
ENSG00000167131	388389	HGNC:32700	CCDC103	FLJ13094	
ENSG00000167131	388389	HGNC:32700	CCDC103	FLJ34211	
ENSG00000167131	388389	HGNC:32700	CCDC103	PR46b	
ENSG00000167131	388389	HGNC:32700	CCDC103	CILD17	
ENSG00000160994	126402	HGNC:26866	CCDC105	FLJ40365	
ENSG00000173581	29903	HGNC:30181	CCDC106	HSU79303	
ENSG00000159884	203260	HGNC:28465	CCDC107	MGC31967	
ENSG00000168491	256309	HGNC:28504	CCDC110	KM-HN-1	
ENSG00000168491	256309	HGNC:28504	CCDC110	MGC33607	
ENSG00000168491	256309	HGNC:28504	CCDC110	CT52	
ENSG00000164221	153733	HGNC:28599	CCDC112	MGC39633	
ENSG00000103021	29070	HGNC:25002	CCDC113	HSPC065	
ENSG00000103021	29070	HGNC:25002	CCDC113	DKFZp434N1418	
ENSG00000136710	84317	HGNC:28178	CCDC115	MGC12981	
ENSG00000136710	84317	HGNC:28178	CCDC115	FLJ30131	
